,year,month,usage
0,2016,1,753434128
1,2016,2,756942825
2,2016,3,714022910
3,2016,4,675078079
4,2016,5,630983018
5,2016,6,675463388
6,2016,7,731854626
7,2016,8,813713342
8,2016,9,742389262
9,2016,10,650524055
10,2016,11,679693535
11,2016,12,734269928
12,2017,1,765085605
13,2017,2,773394230
14,2017,3,717911461
15,2017,4,698719498
16,2017,5,634698659
17,2017,6,677388071
18,2017,7,761987673
19,2017,8,833272037
20,2017,9,758364504
21,2017,10,631753373
22,2017,11,680054617
23,2017,12,751018796
24,2018,1,807535917
25,2018,2,798506369
26,2018,3,698659795
27,2018,4,685492936
28,2018,5,648944709
29,2018,6,688052097
30,2018,7,753263260
31,2018,8,893914829
32,2018,9,765903998
33,2018,10,644126666
34,2018,11,672599955
35,2018,12,716810703
36,2019,1,801473294
37,2019,2,741798539
38,2019,3,682608470
39,2019,4,706906711
40,2019,5,653101920
41,2019,6,673982642
42,2019,7,726580978
43,2019,8,821995398
44,2019,9,756642371
45,2019,10,663822053
46,2019,11,663133327
47,2019,12,711251294
48,2020,1,756531697
49,2020,2,740068227
50,2020,3,696886117
51,2020,4,660659042
52,2020,5,610865447
53,2020,6,685305904
54,2020,7,723737539
55,2020,8,785929551
56,2020,9,810365666
57,2020,10,644708555
58,2020,11,681435087
59,2020,12,734615424
60,2021,1,811864417
61,2021,2,767227407
62,2021,3,697760777
63,2021,4,696052225
64,2021,5,659750505
65,2021,6,713734602
66,2021,7,790945617
67,2021,8,876521082
68,2021,9,781758101
69,2021,10,705603738
70,2021,11,710813620
71,2021,12,761414432
72,2022,1,825882846
73,2022,2,788536591
74,2022,3,735401195
75,2022,4,712892007
76,2022,5,672419479
77,2022,6,717565017
78,2022,7,838798578
79,2022,8,892014835
80,2022,9,806887743
81,2022,10,691579483
82,2022,11,690524525
83,2022,12,744368423
