,cloud,year,month,day,date,temp,rainfall_total,Humidity_mean,solar
0,7.3,2021,1,1,2021-01-01,-0.6,0.0,83.1,9.0
1,3.8,2021,1,2,2021-01-02,-0.3,0.5,67.8,12.54
2,7.3,2021,1,3,2021-01-03,-0.6,0.0,54.6,10.37
3,3.1,2021,1,4,2021-01-04,1.2,0.0,71.8,10.07
4,8.0,2021,1,5,2021-01-05,-0.2,0.0,64.9,7.74
5,7.5,2021,1,6,2021-01-06,-2.4,1.2,65.9,10.95
6,8.6,2021,1,7,2021-01-07,-8.4,2.0,69.1,5.16
7,2.8,2021,1,8,2021-01-08,-9.9,0.0,55.8,12.15
8,1.9,2021,1,9,2021-01-09,-7.6,0.0,52.6,13.02
9,4.4,2021,1,10,2021-01-10,-5.1,0.0,74.3,9.5
10,8.1,2021,1,11,2021-01-11,-2.1,0.0,78.6,5.82
11,5.5,2021,1,12,2021-01-12,-0.5,0.0,80.4,10.78
12,3.4,2021,1,13,2021-01-13,4.3,0.0,77.5,11.74
13,0.1,2021,1,14,2021-01-14,6.6,0.0,76.8,12.16
14,8.0,2021,1,15,2021-01-15,7.9,0.0,83.9,7.46
15,8.3,2021,1,16,2021-01-16,0.3,0.0,60.9,7.43
16,4.6,2021,1,17,2021-01-17,-1.5,0.0,60.4,13.86
17,8.0,2021,1,18,2021-01-18,0.6,4.0,77.1,5.69
18,0.0,2021,1,19,2021-01-19,-1.3,0.0,46.0,14.39
19,2.6,2021,1,20,2021-01-20,3.2,0.0,51.1,13.68
20,8.3,2021,1,21,2021-01-21,7.6,6.8,81.4,5.47
21,9.9,2021,1,22,2021-01-22,9.4,2.9,97.9,4.14
22,10.0,2021,1,23,2021-01-23,9.3,4.0,96.8,3.29
23,3.6,2021,1,24,2021-01-24,8.8,0.0,70.5,12.93
24,5.1,2021,1,25,2021-01-25,8.8,0.0,66.8,13.75
25,9.8,2021,1,26,2021-01-26,6.5,8.7,90.6,3.79
26,4.9,2021,1,27,2021-01-27,5.1,0.0,41.8,14.25
27,7.9,2021,1,28,2021-01-28,0.7,1.0,71.8,6.84
28,2.5,2021,1,29,2021-01-29,-3.2,0.0,63.8,15.34
29,4.6,2021,1,30,2021-01-30,1.8,0.1,74.0,9.81
30,6.0,2021,1,31,2021-01-31,6.2,1.8,77.6,11.52
31,9.1,2021,2,1,2021-02-01,8.3,11.6,90.6,4.36
32,0.6,2021,2,2,2021-02-02,-1.0,0.0,45.6,16.45
33,2.0,2021,2,3,2021-02-03,0.3,0.0,50.3,16.03
34,1.3,2021,2,4,2021-02-04,1.6,1.1,49.1,16.67
35,6.1,2021,2,5,2021-02-05,2.8,0.0,41.0,11.02
36,6.9,2021,2,6,2021-02-06,5.7,0.0,71.4,6.55
37,4.0,2021,2,7,2021-02-07,7.4,0.0,65.8,14.14
38,0.0,2021,2,8,2021-02-08,0.3,0.0,44.8,17.29
39,0.0,2021,2,9,2021-02-09,1.7,0.0,40.1,17.32
40,2.0,2021,2,10,2021-02-10,4.0,0.0,58.1,15.93
41,8.5,2021,2,11,2021-02-11,6.4,0.0,63.6,10.21
42,6.1,2021,2,12,2021-02-12,9.3,0.0,47.0,15.04
43,0.8,2021,2,13,2021-02-13,10.6,0.0,41.0,16.83
44,9.1,2021,2,14,2021-02-14,10.9,0.0,55.1,7.98
45,8.9,2021,2,15,2021-02-15,3.9,0.6,65.9,7.26
46,4.5,2021,2,16,2021-02-16,0.4,0.9,60.5,13.96
47,9.6,2021,2,17,2021-02-17,-4.5,1.5,83.4,6.82
48,8.6,2021,2,18,2021-02-18,-2.2,0.2,69.1,9.52
49,1.1,2021,2,19,2021-02-19,3.8,0.0,65.4,18.39
50,0.0,2021,2,20,2021-02-20,10.6,0.0,74.8,16.01
51,0.0,2021,2,21,2021-02-21,13.0,0.0,65.0,17.9
52,0.0,2021,2,22,2021-02-22,10.5,0.0,62.1,16.61
53,2.8,2021,2,23,2021-02-23,3.6,0.0,38.5,16.24
54,7.0,2021,2,24,2021-02-24,3.9,0.0,42.0,5.49
55,9.6,2021,2,25,2021-02-25,4.7,14.8,86.1,2.83
56,8.3,2021,2,26,2021-02-26,9.7,0.0,59.1,15.45
57,6.3,2021,2,27,2021-02-27,9.4,0.0,46.0,17.92
58,9.8,2021,2,28,2021-02-28,8.9,0.4,70.9,6.06
59,9.4,2021,3,1,2021-03-01,11.5,39.7,95.9,3.51
60,5.1,2021,3,2,2021-03-02,4.7,0.0,74.8,15.61
61,4.5,2021,3,3,2021-03-03,6.2,0.0,64.9,18.39
62,9.5,2021,3,4,2021-03-04,6.9,8.9,85.8,5.31
