year,month,type,kw
2016,1,가로등,7842078
2016,1,교육용,27092538
2016,1,농사용,9785066
2016,1,산업용,261196271
2016,1,심 야,18357075
2016,1,일반용,255851378
2016,1,주택용,173309722
2016,2,가로등,7435531
2016,2,교육용,26412246
2016,2,농사용,11083161
2016,2,산업용,249686944
2016,2,심 야,20082747
2016,2,일반용,264737669
2016,2,주택용,177504527
2016,3,가로등,6731757
2016,3,교육용,25623599
2016,3,농사용,8365775
2016,3,산업용,265611126
2016,3,심 야,16648295
2016,3,일반용,231586942
2016,3,주택용,159455416
2016,4,가로등,6503431
2016,4,교육용,22651558
2016,4,농사용,6004044
2016,4,산업용,254699750
2016,4,심 야,12255258
2016,4,일반용,213115734
2016,4,주택용,159848304
2016,5,가로등,5843072
2016,5,교육용,18205039
2016,5,농사용,3878943
2016,5,산업용,250569999
2016,5,심 야,6697818
2016,5,일반용,196782992
2016,5,주택용,149005155
2016,6,가로등,5518404
2016,6,교육용,21039641
2016,6,농사용,4418441
2016,6,산업용,268629134
2016,6,심 야,5076262
2016,6,일반용,219998354
2016,6,주택용,150783152
2016,7,가로등,5357894
2016,7,교육용,25922146
2016,7,농사용,4480687
2016,7,산업용,283162090
2016,7,심 야,5245948
2016,7,일반용,247432080
2016,7,주택용,160253781
2016,8,가로등,5727174
2016,8,교육용,25716429
2016,8,농사용,6337387
2016,8,산업용,269911993
2016,8,심 야,5357215
2016,8,일반용,293957526
2016,8,주택용,206705618
2016,9,가로등,6227554
2016,9,교육용,25475045
2016,9,농사용,5454884
2016,9,산업용,257262845
2016,9,심 야,4209095
2016,9,일반용,262442352
2016,9,주택용,181317487
2016,10,가로등,6727443
2016,10,교육용,20090511
2016,10,농사용,3975739
2016,10,산업용,255668381
2016,10,심 야,4112314
2016,10,일반용,210523165
2016,10,주택용,149426502
2016,11,가로등,7402672
2016,11,교육용,21753618
2016,11,농사용,7471416
2016,11,산업용,269083814
2016,11,심 야,8577543
2016,11,일반용,207452823
2016,11,주택용,157951649
2016,12,가로등,7782200
2016,12,교육용,28444745
2016,12,농사용,7934865
2016,12,산업용,275812572
2016,12,심 야,14613075
2016,12,일반용,236135112
2016,12,주택용,163547359
2017,1,가로등,7830536
2017,1,교육용,27781040
2017,1,농사용,9767275
2017,1,산업용,266767270
2017,1,심 야,17150265
2017,1,일반용,261557952
2017,1,주택용,174231267
2017,2,가로등,7275341
2017,2,교육용,26204476
2017,2,농사용,10507779
2017,2,산업용,265948639
2017,2,심 야,18385263
2017,2,일반용,268084862
2017,2,주택용,176987870
2017,3,가로등,6434811
2017,3,교육용,26085491
2017,3,농사용,8500401
2017,3,산업용,275255944
2017,3,심 야,15159803
2017,3,일반용,232583933
2017,3,주택용,153891078
2017,4,가로등,6282781
2017,4,교육용,24276601
2017,4,농사용,6039096
2017,4,산업용,265088130
2017,4,심 야,12276147
2017,4,일반용,222057554
2017,4,주택용,162699189
2017,5,가로등,5669270
2017,5,교육용,18180580
2017,5,농사용,4250584
2017,5,산업용,251168619
2017,5,심 야,6142507
2017,5,일반용,200422592
2017,5,주택용,148864507
2017,6,가로등,5431891
2017,6,교육용,20933394
2017,6,농사용,4809452
2017,6,산업용,271419451
2017,6,심 야,4569264
2017,6,일반용,220022217
2017,6,주택용,150202402
2017,7,가로등,5259680
2017,7,교육용,27170858
2017,7,농사용,4641490
2017,7,산업용,292212033
2017,7,심 야,4764526
2017,7,일반용,260099960
2017,7,주택용,167839126
2017,8,가로등,5477777
2017,8,교육용,26411582
2017,8,농사용,6066700
2017,8,산업용,275234392
2017,8,심 야,4490186
2017,8,일반용,300264150
2017,8,주택용,215327250
2017,9,가로등,5934600
2017,9,교육용,25594067
2017,9,농사용,5014316
2017,9,산업용,284174505
2017,9,심 야,3682577
2017,9,일반용,259539383
2017,9,주택용,174425056
2017,10,가로등,6486155
2017,10,교육용,18967382
2017,10,농사용,3964947
2017,10,산업용,238063827
2017,10,심 야,3689158
2017,10,일반용,210680621
2017,10,주택용,149901283
2017,11,가로등,7083834
2017,11,교육용,21392289
2017,11,농사용,7706210
2017,11,산업용,266181441
2017,11,심 야,7389522
2017,11,일반용,212063918
2017,11,주택용,158237403
2017,12,가로등,7475527
2017,12,교육용,31644936
2017,12,농사용,8501808
2017,12,산업용,267357093
2017,12,심 야,14630927
2017,12,일반용,253594117
2017,12,주택용,167814388
2018,1,가로등,7696621
2018,1,교육용,31809815
2018,1,농사용,10224246
2018,1,산업용,274715904
2018,1,심 야,17357640
2018,1,일반용,284853192
2018,1,주택용,180878499
2018,2,가로등,7252179
2018,2,교육용,29491219
2018,2,농사용,11023343
2018,2,산업용,254968942
2018,2,심 야,18364931
2018,2,일반용,293761374
2018,2,주택용,183644381
2018,3,가로등,6489921
2018,3,교육용,24622278
2018,3,농사용,7647920
2018,3,산업용,256046322
2018,3,심 야,13885045
2018,3,일반용,231561306
2018,3,주택용,158407003
2018,4,가로등,6484632
2018,4,교육용,22414983
2018,4,농사용,5406611
2018,4,산업용,256840613
2018,4,심 야,9616774
2018,4,일반용,221526750
2018,4,주택용,163202573
2018,5,가로등,5862290
2018,5,교육용,19112020
2018,5,농사용,4037883
2018,5,산업용,252622696
2018,5,심 야,5742748
2018,5,일반용,208475853
2018,5,주택용,153091219
2018,6,가로등,5655235
2018,6,교육용,22062031
2018,6,농사용,4572042
2018,6,산업용,261786251
2018,6,심 야,4238926
2018,6,일반용,232451865
2018,6,주택용,157285747
2018,7,가로등,5513213
2018,7,교육용,27725633
2018,7,농사용,4926739
2018,7,산업용,269930043
2018,7,심 야,4394816
2018,7,일반용,265777737
2018,7,주택용,174995079
2018,8,가로등,5800634
2018,8,교육용,28550313
