,Unnamed: 0,year,month,day,temp,cloud,rainfall_total,Humidity_mean,solar,customer,demand_max(Wh),usage(kWh)
0,0,2021,1,1,-0.6,7.3,0.0,83.1,9.0,783260,"49,968,118.15","11,154,070.87"
1,1,2021,1,2,-0.3,3.8,0.5,67.8,12.54,783281,"43,576,388.06","10,820,313.94"
2,2,2021,1,3,-0.6,7.3,0.0,54.6,10.37,783288,"44,345,831.21","10,577,876.27"
3,3,2021,1,4,1.2,3.1,0.0,71.8,10.07,783288,"49,666,971.53","11,410,542.58"
4,4,2021,1,5,-0.2,8.0,0.0,64.9,7.74,783310,"44,114,435.78","11,097,614.74"
5,5,2021,1,6,-2.4,7.5,1.2,65.9,10.95,783287,"250,647,650.98","13,483,005.42"
6,6,2021,1,7,-8.4,8.6,2.0,69.1,5.16,783266,"47,705,196.65","12,136,136.59"
7,7,2021,1,8,-9.9,2.8,0.0,55.8,12.15,783436,"53,668,802.90","12,821,846.23"
8,8,2021,1,9,-7.6,1.9,0.0,52.6,13.02,697997,"1,076,574,227.21","22,396,185.19"
9,9,2021,1,10,-5.1,4.4,0.0,74.3,9.5,697966,"51,608,225.95","11,128,492.40"
10,10,2021,1,11,-2.1,8.1,0.0,78.6,5.82,697966,"44,021,964.05","12,152,456.72"
11,11,2021,1,12,-0.5,5.5,0.0,80.4,10.78,697890,"44,297,935.63","12,172,820.50"
12,12,2021,1,13,4.3,3.4,0.0,77.5,11.74,697757,"44,700,574.58","11,826,793.14"
13,13,2021,1,14,6.6,0.1,0.0,76.8,12.16,697708,"45,528,155.18","11,263,504.16"
14,14,2021,1,15,7.9,8.0,0.0,83.9,7.46,697703,"50,697,525.74","11,632,766.19"
15,15,2021,1,16,0.3,8.3,0.0,60.9,7.43,697612,"43,369,093.82","11,311,041.43"
16,16,2021,1,17,-1.5,4.6,0.0,60.4,13.86,697621,"48,256,148.76","10,975,681.50"
17,17,2021,1,18,0.6,8.0,4.0,77.1,5.69,697615,"52,462,598.54","11,628,328.85"
18,18,2021,1,19,-1.3,0.0,0.0,46.0,14.39,697561,"44,539,508.64","11,704,741.50"
19,19,2021,1,20,3.2,2.6,0.0,51.1,13.68,697621,"49,980,983.64","11,663,196.29"
20,20,2021,1,21,7.6,8.3,6.8,81.4,5.47,697440,"43,991,190.65","11,361,640.29"
21,21,2021,1,22,9.4,9.9,2.9,97.9,4.14,697286,"49,362,831.00","10,826,742.68"
22,22,2021,1,23,9.3,10.0,4.0,96.8,3.29,697075,"42,324,986.14","10,337,419.98"
23,23,2021,1,24,8.8,3.6,0.0,70.5,12.93,697065,"41,435,239.03","10,343,845.57"
24,24,2021,1,25,8.8,5.1,0.0,66.8,13.75,697062,"45,719,726.33","10,734,353.24"
25,25,2021,1,26,6.5,9.8,8.7,90.6,3.79,696657,"121,941,714.96","14,122,003.59"
