,year,month,type,kw
0,2016,1,가로등,7842078
1,2016,1,교육용,27092538
2,2016,1,농사용,9785066
3,2016,1,산업용,261196271
4,2016,1,심 야,18357075
5,2016,1,일반용,255851378
6,2016,1,주택용,173309722
8,2016,2,가로등,7435531
9,2016,2,교육용,26412246
10,2016,2,농사용,11083161
11,2016,2,산업용,249686944
12,2016,2,심 야,20082747
13,2016,2,일반용,264737669
14,2016,2,주택용,177504527
16,2016,3,가로등,6731757
17,2016,3,교육용,25623599
18,2016,3,농사용,8365775
19,2016,3,산업용,265611126
20,2016,3,심 야,16648295
21,2016,3,일반용,231586942
22,2016,3,주택용,159455416
24,2016,4,가로등,6503431
25,2016,4,교육용,22651558
26,2016,4,농사용,6004044
27,2016,4,산업용,254699750
28,2016,4,심 야,12255258
29,2016,4,일반용,213115734
30,2016,4,주택용,159848304
32,2016,5,가로등,5843072
33,2016,5,교육용,18205039
34,2016,5,농사용,3878943
35,2016,5,산업용,250569999
36,2016,5,심 야,6697818
37,2016,5,일반용,196782992
38,2016,5,주택용,149005155
40,2016,6,가로등,5518404
41,2016,6,교육용,21039641
42,2016,6,농사용,4418441
43,2016,6,산업용,268629134
44,2016,6,심 야,5076262
45,2016,6,일반용,219998354
46,2016,6,주택용,150783152
48,2016,7,가로등,5357894
49,2016,7,교육용,25922146
50,2016,7,농사용,4480687
51,2016,7,산업용,283162090
52,2016,7,심 야,5245948
53,2016,7,일반용,247432080
54,2016,7,주택용,160253781
56,2016,8,가로등,5727174
57,2016,8,교육용,25716429
58,2016,8,농사용,6337387
59,2016,8,산업용,269911993
60,2016,8,심 야,5357215
61,2016,8,일반용,293957526
62,2016,8,주택용,206705618
64,2016,9,가로등,6227554
65,2016,9,교육용,25475045
66,2016,9,농사용,5454884
67,2016,9,산업용,257262845
68,2016,9,심 야,4209095
69,2016,9,일반용,262442352
70,2016,9,주택용,181317487
72,2016,10,가로등,6727443
73,2016,10,교육용,20090511
74,2016,10,농사용,3975739
75,2016,10,산업용,255668381
76,2016,10,심 야,4112314
77,2016,10,일반용,210523165
78,2016,10,주택용,149426502
80,2016,11,가로등,7402672
81,2016,11,교육용,21753618
82,2016,11,농사용,7471416
83,2016,11,산업용,269083814
84,2016,11,심 야,8577543
85,2016,11,일반용,207452823
86,2016,11,주택용,157951649
88,2016,12,가로등,7782200
89,2016,12,교육용,28444745
90,2016,12,농사용,7934865
91,2016,12,산업용,275812572
92,2016,12,심 야,14613075
93,2016,12,일반용,236135112
94,2016,12,주택용,163547359
96,2017,1,가로등,7830536
97,2017,1,교육용,27781040
98,2017,1,농사용,9767275
99,2017,1,산업용,266767270
100,2017,1,심 야,17150265
101,2017,1,일반용,261557952
102,2017,1,주택용,174231267
104,2017,2,가로등,7275341
105,2017,2,교육용,26204476
106,2017,2,농사용,10507779
107,2017,2,산업용,265948639
108,2017,2,심 야,18385263
109,2017,2,일반용,268084862
110,2017,2,주택용,176987870
112,2017,3,가로등,6434811
113,2017,3,교육용,26085491
114,2017,3,농사용,8500401
115,2017,3,산업용,275255944
116,2017,3,심 야,15159803
117,2017,3,일반용,232583933
118,2017,3,주택용,153891078
