瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),老弥促碍荐樊 唱鸥抄朝(yyyymmdd),乞闭款樊(1/10),钦拌 老荤樊(MJ/m2),弥缴脚利汲(cm)
156,堡林,2016-01,.9,69,49.7,20160128,6,244.83,13.5
156,堡林,2016-02,3.3,60,45.2,20160212,4.5,348.22,5.6
156,堡林,2016-03,8.4,60,55.2,20160305,4.1,520.95,
156,堡林,2016-04,15.5,66,185,20160427,5.8,541.64,
156,堡林,2016-05,19.8,65,104.5,20160510,5.2,681.6,
156,堡林,2016-06,23,80,116.1,20160624,7,505.22,
156,堡林,2016-07,26.9,84,301.3,20160703,6.6,570.17,
156,堡林,2016-08,27.8,79,81,20160826,4.1,592.06,
156,堡林,2016-09,23,83,251.2,20160917,6.8,408.67,
156,堡林,2016-10,17.2,79,216.7,20161005,6.7,318.54,
156,堡林,2016-11,9.6,69,31.5,20161118,4.6,297,
156,堡林,2016-12,4.7,69,44.9,20161226,5.1,241.72,1.6
156,堡林,2017-01,2,66,11.7,20170129,4.7,291.97,5.3
156,堡林,2017-02,2.9,60,41.9,20170222,4.3,366.96,3.4
156,堡林,2017-03,7.4,57,33.2,20170325,4.8,519.15,1.9
156,堡林,2017-04,15.1,60,60.6,20170405,4.4,614.81,
156,堡林,2017-05,19.8,62,30.2,20170509,4.1,704.45,
156,堡林,2017-06,23.1,68,42.1,20170626,5.5,640.81,
156,堡林,2017-07,27.8,89,211.6,20170708,7.4,494.13,
156,堡林,2017-08,27,83,280.5,20170821,5.8,547.82,
156,堡林,2017-09,22.4,76,108.8,20170911,5.1,463.02,
156,堡林,2017-10,17,75,85.4,20171001,5,392.99,
156,堡林,2017-11,8.8,64,2.1,20171103,3.8,343.91,
156,堡林,2017-12,1.9,64,28.5,20171224,5.2,275.81,4
156,堡林,2018-01,-.2,67,38.8,20180116,4.7,292.12,17.1
156,堡林,2018-02,1.8,54,22,20180228,4.8,352.83,6.6
156,堡林,2018-03,10,72,115.8,20180315,4.9,445.57,1
156,堡林,2018-04,15.1,67,127.4,20180423,4.7,579.66,
156,堡林,2018-05,19.5,74,85.4,20180512,5.9,581.84,
156,堡林,2018-06,23.6,74,222.4,20180628,6,630.27,
156,堡林,2018-07,28.3,79,84.5,20180701,4.7,660.92,
156,堡林,2018-08,28.4,78,397.1,20180827,6,590.22,
156,堡林,2018-09,21.6,78,129.7,20180904,6.2,461.03,
156,堡林,2018-10,14.5,72,125.2,20181005,4,456.15,
156,堡林,2018-11,9.9,70,47.2,20181108,3.8,335.3,
156,堡林,2018-12,3.2,62,32.4,20181204,5.2,284.78,
156,堡林,2019-01,1.8,59,16.4,20190131,4.1,340.78,3.8
156,堡林,2019-02,3.6,58,37,20190219,5.8,359.82,
156,堡林,2019-03,8.4,61,33.9,20190320,4.8,520.96,
156,堡林,2019-04,13,67,84.7,20190409,5.8,499.58,
156,堡林,2019-05,19.2,58,78.8,20190518,4.4,750.55,
156,堡林,2019-06,22,79,158,20190629,6,607.69,
156,堡林,2019-07,25.3,84,242.2,20190727,7.4,504.72,
156,堡林,2019-08,27,80,64.8,20190822,6.4,549.91,
156,堡林,2019-09,22.9,82,165.8,20190922,6.5,417.03,
156,堡林,2019-10,17.1,74,149.9,20191002,4.7,430.67,
156,堡林,2019-11,10.8,66,22.8,20191110,4.1,337.05,
156,堡林,2019-12,4.8,62,31.6,20191201,5.2,242.93,
156,堡林,2020-01,4.6,68,74.9,20200107,6.3,264.36,
156,堡林,2020-02,5.3,67,47.8,20200212,4.9,346.78,10.9
156,堡林,2020-03,9,58,43.5,20200326,4,568.48,
156,堡林,2020-04,11.5,52,55.3,20200419,3.3,686.9,
156,堡林,2020-05,18.8,73,96.8,20200503,6.1,619.38,
156,堡林,2020-06,23.6,79,199.9,20200614,6.5,592.22,
156,堡林,2020-07,23.4,91,533.3,20200713,8.7,394.45,
156,堡林,2020-08,27.6,89,738.1,20200807,6.6,501.73,
156,堡林,2020-09,21.3,85,178.3,20200902,6.3,441.01,
156,堡林,2020-10,15.7,64,12.1,20201021,4.6,477.99,
156,堡林,2020-11,10.5,63,28.3,20201119,4.8,320.91,
156,堡林,2020-12,2.7,62,18.7,20201227,4.8,299.96,16.9
156,堡林,2021-01,1.4,71,33,20210126,5.7,304.64,8.5
156,堡林,2021-02,5.1,59,31.1,20210225,4.8,356.28,5.9
156,堡林,2021-03,10.6,65,122.4,20210301,5,524.59,
156,堡林,2021-04,14.9,52,34.2,20210412,5.1,622.29,
156,堡林,2021-05,18.4,68,139.4,20210516,5.8,617.85,
156,堡林,2021-06,23.3,76,118.1,20210611,6.1,603.21,
156,堡林,2021-07,27,82,227.6,20210706,6.6,566.24,
156,堡林,2021-08,25.8,88,338.7,20210806,7,466.53,
156,堡林,2021-09,22.9,84,131.1,20210901,7.1,389.17,
156,堡林,2021-10,17.2,77,35.3,20211015,4.4,439.7,
156,堡林,2021-11,10.2,78,85.8,20211130,4.7,310.83,
156,堡林,2021-12,4.1,71,7.1,20211217,4.4,288.88,8.6
156,堡林,2022-01,1.6,59,.3,20220111,4.8,327.51,2.3
156,堡林,2022-02,1.8,56,2.7,20220216,4.7,395.79,2.2
156,堡林,2022-03,9.6,68,105.2,20220326,5.4,434.2,
156,堡林,2022-04,15.5,60,49.4,20220425,4.3,647.3,
156,堡林,2022-05,19.3,59,.4,20220526,3.9,770.49,
156,堡林,2022-06,23.8,83,131.7,20220623,6.5,570.73,
156,堡林,2022-07,27,88,169,20220718,6.6,552.07,
156,堡林,2022-08,26.9,90,106.4,20220820,7.3,454.3,
