瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
156,堡林,2021-01-01,-.6,0,83.1,9,7.3
156,堡林,2021-01-02,-.3,.5,67.8,12.54,3.8
156,堡林,2021-01-03,-.6,,54.6,10.37,7.3
156,堡林,2021-01-04,1.2,,71.8,10.07,3.1
156,堡林,2021-01-05,-.2,0,64.9,7.74,8
156,堡林,2021-01-06,-2.4,1.2,65.9,10.95,7.5
156,堡林,2021-01-07,-8.4,2,69.1,5.16,8.6
156,堡林,2021-01-08,-9.9,,55.8,12.15,2.8
156,堡林,2021-01-09,-7.6,0,52.6,13.02,1.9
156,堡林,2021-01-10,-5.1,0,74.3,9.5,4.4
156,堡林,2021-01-11,-2.1,,78.6,5.82,8.1
156,堡林,2021-01-12,-.5,0,80.4,10.78,5.5
156,堡林,2021-01-13,4.3,,77.5,11.74,3.4
156,堡林,2021-01-14,6.6,,76.8,12.16,.1
156,堡林,2021-01-15,7.9,,83.9,7.46,8
156,堡林,2021-01-16,.3,,60.9,7.43,8.3
156,堡林,2021-01-17,-1.5,0,60.4,13.86,4.6
156,堡林,2021-01-18,.6,4,77.1,5.69,8
156,堡林,2021-01-19,-1.3,,46,14.39,0
156,堡林,2021-01-20,3.2,,51.1,13.68,2.6
156,堡林,2021-01-21,7.6,6.8,81.4,5.47,8.3
156,堡林,2021-01-22,9.4,2.9,97.9,4.14,9.9
156,堡林,2021-01-23,9.3,4,96.8,3.29,10
156,堡林,2021-01-24,8.8,,70.5,12.93,3.6
156,堡林,2021-01-25,8.8,,66.8,13.75,5.1
156,堡林,2021-01-26,6.5,8.7,90.6,3.79,9.8
156,堡林,2021-01-27,5.1,,41.8,14.25,4.9
156,堡林,2021-01-28,.7,1,71.8,6.84,7.9
156,堡林,2021-01-29,-3.2,0,63.8,15.34,2.5
156,堡林,2021-01-30,1.8,.1,74,9.81,4.6
156,堡林,2021-01-31,6.2,1.8,77.6,11.52,6
156,堡林,2021-02-01,8.3,11.6,90.6,4.36,9.1
156,堡林,2021-02-02,-1,,45.6,16.45,.6
156,堡林,2021-02-03,.3,0,50.3,16.03,2
156,堡林,2021-02-04,1.6,1.1,49.1,16.67,1.3
156,堡林,2021-02-05,2.8,,41,11.02,6.1
156,堡林,2021-02-06,5.7,,71.4,6.55,6.9
156,堡林,2021-02-07,7.4,,65.8,14.14,4
156,堡林,2021-02-08,.3,,44.8,17.29,0
156,堡林,2021-02-09,1.7,,40.1,17.32,0
156,堡林,2021-02-10,4,,58.1,15.93,2
156,堡林,2021-02-11,6.4,,63.6,10.21,8.5
156,堡林,2021-02-12,9.3,,47,15.04,6.1
156,堡林,2021-02-13,10.6,,41,16.83,.8
156,堡林,2021-02-14,10.9,0,55.1,7.98,9.1
156,堡林,2021-02-15,3.9,.6,65.9,7.26,8.9
156,堡林,2021-02-16,.4,.9,60.5,13.96,4.5
156,堡林,2021-02-17,-4.5,1.5,83.4,6.82,9.6
156,堡林,2021-02-18,-2.2,.2,69.1,9.52,8.6
156,堡林,2021-02-19,3.8,,65.4,18.39,1.1
156,堡林,2021-02-20,10.6,,74.8,16.01,0
156,堡林,2021-02-21,13,,65,17.9,0
156,堡林,2021-02-22,10.5,,62.1,16.61,0
