,year,month,day,temp,cloud,rainfall_total,Humidity_mean,solar,customer,wh,kwh
0,2021,1,1,-0.6,7.3,0,83.1,9,783260,49968118.15,11154070.87
1,2021,1,2,-0.3,3.8,0.5,67.8,12.54,783281,43576388.06,10820313.94
2,2021,1,3,-0.6,7.3,0,54.6,10.37,783288,44345831.21,10577876.27
3,2021,1,4,1.2,3.1,0,71.8,10.07,783288,49666971.53,11410542.58
4,2021,1,5,-0.2,8,0,64.9,7.74,783310,44114435.78,11097614.74
5,2021,1,6,-2.4,7.5,1.2,65.9,10.95,783287,250647651,13483005.42
6,2021,1,7,-8.4,8.6,2,69.1,5.16,783266,47705196.65,12136136.59
7,2021,1,8,-9.9,2.8,0,55.8,12.15,783436,53668802.9,12821846.23
8,2021,1,9,-7.6,1.9,0,52.6,13.02,697997,1076574227,22396185.19
9,2021,1,10,-5.1,4.4,0,74.3,9.5,697966,51608225.95,11128492.4
10,2021,1,11,-2.1,8.1,0,78.6,5.82,697966,44021964.05,12152456.72
11,2021,1,12,-0.5,5.5,0,80.4,10.78,697890,44297935.63,12172820.5
12,2021,1,13,4.3,3.4,0,77.5,11.74,697757,44700574.58,11826793.14
13,2021,1,14,6.6,0.1,0,76.8,12.16,697708,45528155.18,11263504.16
14,2021,1,15,7.9,8,0,83.9,7.46,697703,50697525.74,11632766.19
15,2021,1,16,0.3,8.3,0,60.9,7.43,697612,43369093.82,11311041.43
16,2021,1,17,-1.5,4.6,0,60.4,13.86,697621,48256148.76,10975681.5
17,2021,1,18,0.6,8,4,77.1,5.69,697615,52462598.54,11628328.85
18,2021,1,19,-1.3,0,0,46,14.39,697561,44539508.64,11704741.5
19,2021,1,20,3.2,2.6,0,51.1,13.68,697621,49980983.64,11663196.29
20,2021,1,21,7.6,8.3,6.8,81.4,5.47,697440,43991190.65,11361640.29
21,2021,1,22,9.4,9.9,2.9,97.9,4.14,697286,49362831,10826742.68
22,2021,1,23,9.3,10,4,96.8,3.29,697075,42324986.14,10337419.98
23,2021,1,24,8.8,3.6,0,70.5,12.93,697065,41435239.03,10343845.57
24,2021,1,25,8.8,5.1,0,66.8,13.75,697062,45719726.33,10734353.24
25,2021,1,26,6.5,9.8,8.7,90.6,3.79,696657,121941715,14122003.59
26,2021,1,27,5.1,4.9,0,41.8,14.25,696375,44919990.48,10988331.94
27,2021,1,28,0.7,7.9,1,71.8,6.84,696245,55912527.19,11950043.23
28,2021,1,29,-3.2,2.5,0,63.8,15.34,695954,44656748.88,11762888.42
29,2021,1,30,1.8,4.6,0.1,74,9.81,695755,48106043.81,11387336.07
30,2021,1,31,6.2,6,1.8,77.6,11.52,695641,51092094.94,10946838.55
31,2021,2,1,8.3,9.1,11.6,90.6,4.36,695648,42817324.39,10827504.23
32,2021,2,2,-1,0.6,0,45.6,16.45,695378,164012153.5,11988750.99
33,2021,2,3,0.3,2,0,50.3,16.03,695378,54992772.24,11144786.22
34,2021,2,4,1.6,1.3,1.1,49.1,16.67,696170,50299933.27,10636186.02
35,2021,2,5,2.8,6.1,0,41,11.02,696231,44263394.83,11207579.6
36,2021,2,6,5.7,6.9,0,71.4,6.55,695699,41713886.14,10613986.48
37,2021,2,7,7.4,4,0,65.8,14.14,695710,40098807.38,10625817.49
38,2021,2,8,0.3,0,0,44.8,17.29,695714,44448821.26,11118687.87
39,2021,2,9,1.7,0,0,40.1,17.32,695480,42671288.23,11642488.34
40,2021,2,10,4,2,0,58.1,15.93,695307,56912305.1,11386415.5
41,2021,2,11,6.4,8.5,0,63.6,10.21,695196,41690192.74,10460928.62
42,2021,2,12,9.3,6.1,0,47,15.04,695197,50671756.37,10552279.98
43,2021,2,13,10.6,0.8,0,41,16.83,695201,48063368.26,10086433.03
44,2021,2,14,10.9,9.1,0,55.1,7.98,695204,41074672.34,9731673.15
45,2021,2,15,3.9,8.9,0.6,65.9,7.26,695205,49818108.94,10586733.01
46,2021,2,16,0.4,4.5,0.9,60.5,13.96,674766,51172526.09,11146163.9
47,2021,2,17,-4.5,9.6,1.5,83.4,6.82,674535,52582732.9,12295603.5
48,2021,2,18,-2.2,8.6,0.2,69.1,9.52,674378,59241329.81,12663186.49
49,2021,2,19,3.8,1.1,0,65.4,18.39,674258,54768599.28,11901151.89
50,2021,2,20,10.6,0,0,74.8,16.01,674748,42189927.82,10532084.32
51,2021,2,21,13,0,0,65,17.9,674750,39113274.24,9853147.15
52,2021,2,22,10.5,0,0,62.1,16.61,674745,45267175.15,10558934.94
53,2021,2,23,3.6,2.8,0,38.5,16.24,674563,49218881.95,10475597.28
54,2021,2,24,3.9,7,0,42,5.49,674246,43160485.9,11312194.49
55,2021,2,25,4.7,9.6,14.8,86.1,2.83,674190,51385168.61,12106760.05
56,2021,2,26,9.7,8.3,0,59.1,15.45,674144,41161327.97,11061835.84
