,year,month,area,type,kw
0,2016,1,1,1,11811823
1,2016,1,1,2,34215184
2,2016,1,1,3,3759564
3,2016,1,1,4,2776636
4,2016,1,1,5,94134
5,2016,1,1,6,816692
6,2016,1,1,7,2593204
7,2016,1,1,0,56067237
8,2016,1,2,1,36944476
9,2016,1,2,2,69834557
10,2016,1,2,3,2103281
11,2016,1,2,4,25819524
12,2016,1,2,5,564911
13,2016,1,2,6,1483390
14,2016,1,2,7,3089653
15,2016,1,2,0,139839792
16,2016,1,3,1,51696943
17,2016,1,3,2,64305707
18,2016,1,3,3,12693269
19,2016,1,3,4,60258763
20,2016,1,3,5,2300967
21,2016,1,3,6,1761033
22,2016,1,3,7,4997918
23,2016,1,3,0,198014600
24,2016,1,4,1,46283682
25,2016,1,4,2,60835385
26,2016,1,4,3,5475943
27,2016,1,4,4,169541501
28,2016,1,4,5,5696033
29,2016,1,4,6,2589946
30,2016,1,4,7,4388462
31,2016,1,4,0,294810952
32,2016,1,5,1,26572798
33,2016,1,5,2,26660545
34,2016,1,5,3,3060481
35,2016,1,5,4,2799847
36,2016,1,5,5,1129021
37,2016,1,5,6,1191017
38,2016,1,5,7,3287838
39,2016,1,5,0,64701547
40,2017,1,1,1,11824845
41,2017,1,1,2,34066226
42,2017,1,1,3,3878211
43,2017,1,1,4,2833936
44,2017,1,1,5,103130
45,2017,1,1,6,795384
46,2017,1,1,7,2317024
47,2017,1,1,0,55818756
48,2017,1,2,1,37837141
49,2017,1,2,2,70266433
50,2017,1,2,3,2127242
51,2017,1,2,4,25046380
52,2017,1,2,5,545664
53,2017,1,2,6,1366371
54,2017,1,2,7,2901320
55,2017,1,2,0,140090551
56,2017,1,3,1,51469894
57,2017,1,3,2,65845945
58,2017,1,3,3,12971611
59,2017,1,3,4,60210155
60,2017,1,3,5,2360858
61,2017,1,3,6,1725743
62,2017,1,3,7,4974142
63,2017,1,3,0,199558348
64,2017,1,4,1,46612815
65,2017,1,4,2,64162776
66,2017,1,4,3,5654848
67,2017,1,4,4,174719192
68,2017,1,4,5,5604302
69,2017,1,4,6,2744314
70,2017,1,4,7,3919020
71,2017,1,4,0,303417267
72,2017,1,5,1,26486572
73,2017,1,5,2,27216572
74,2017,1,5,3,3149128
75,2017,1,5,4,3957607
76,2017,1,5,5,1153321
77,2017,1,5,6,1198724
78,2017,1,5,7,3038759
79,2017,1,5,0,66200683
80,2018,1,1,1,12565515
81,2018,1,1,2,37254635
82,2018,1,1,3,4175925
83,2018,1,1,4,2931267
84,2018,1,1,5,105784
85,2018,1,1,6,823865
86,2018,1,1,7,2313651
87,2018,1,1,0,60170642
88,2018,1,2,1,38700591
89,2018,1,2,2,75379678
90,2018,1,2,3,2568928
91,2018,1,2,4,26017500
92,2018,1,2,5,655175
93,2018,1,2,6,1358066
94,2018,1,2,7,2769867
95,2018,1,2,0,147449805
96,2018,1,3,1,54027518
97,2018,1,3,2,70422158
98,2018,1,3,3,14609186
99,2018,1,3,4,62603271
100,2018,1,3,5,2434390
101,2018,1,3,6,1746679
102,2018,1,3,7,5129609
103,2018,1,3,0,210972811
104,2018,1,4,1,48366452
105,2018,1,4,2,72018321
106,2018,1,4,3,6829289
107,2018,1,4,4,179231872
108,2018,1,4,5,5966909
109,2018,1,4,6,2597929
110,2018,1,4,7,4029971
111,2018,1,4,0,319040743
112,2018,1,5,1,27218423
113,2018,1,5,2,29778400
114,2018,1,5,3,3626487
115,2018,1,5,4,3931994
116,2018,1,5,5,1061988
117,2018,1,5,6,1170082
118,2018,1,5,7,3114542
119,2018,1,5,0,69901916
120,2019,1,1,1,12864698
121,2019,1,1,2,36211775
122,2019,1,1,3,4292302
123,2019,1,1,4,2937203
124,2019,1,1,5,113896
125,2019,1,1,6,848202
126,2019,1,1,7,2063574
127,2019,1,1,0,59331650
128,2019,1,2,1,38850249
129,2019,1,2,2,73219779
130,2019,1,2,3,2627317
131,2019,1,2,4,26792049
132,2019,1,2,5,714670
133,2019,1,2,6,1342289
134,2019,1,2,7,2308675
135,2019,1,2,0,145855028
136,2019,1,3,1,54087757
137,2019,1,3,2,68737572
138,2019,1,3,3,18473225
139,2019,1,3,4,61083213
140,2019,1,3,5,2427510
141,2019,1,3,6,1934471
142,2019,1,3,7,4696724
