,month,date,customer,demand_max(Wh),usage(kWh)
0,1,01,723966,"48,101,916.29","10,770,673.97"
1,1,02,723985,"71,885,697.96","15,619,732.26"
2,1,03,723981,"71,765,381.30","15,496,153.19"
3,1,04,723980,"72,829,415.14","17,876,744.80"
4,1,05,723872,"74,568,036.00","17,122,196.96"
5,1,06,723968,"54,131,012.59","12,473,914.99"
6,1,07,723914,"52,269,919.30","12,728,184.44"
7,1,08,723509,"51,312,469.30","13,163,031.30"
8,1,09,723521,"68,832,845.59","15,560,029.82"
9,1,10,723618,"70,454,581.49","16,713,065.04"
10,1,11,723655,"70,144,238.64","15,779,107.74"
11,1,12,723382,"70,271,038.78","17,055,927.85"
12,1,13,723251,"74,003,416.20","18,697,053.71"
13,1,14,723103,"51,046,785.89","13,157,721.44"
14,1,15,722906,"71,723,535.05","17,731,911.07"
15,1,16,722846,"69,444,079.22","15,471,081.74"
16,1,17,722846,"52,916,002.13","12,329,436.76"
17,1,18,722720,"81,700,262.38","16,044,863.71"
18,1,19,722795,"75,384,216.07","16,404,239.23"
19,1,20,722630,"60,949,364.02","13,798,093.41"
20,1,21,722811,"92,125,310.64","16,338,371.10"
21,1,22,722589,"63,576,707.69","15,391,604.47"
22,1,23,722454,"83,403,430.61","12,719,320.82"
23,1,24,722458,"71,943,628.85","16,220,853.08"
24,1,25,722459,"56,558,608.30","13,180,884.15"
25,1,26,722271,"73,752,291.26","16,772,176.25"
26,1,27,722295,"123,141,167.38","18,361,449.30"
27,1,28,722235,"76,651,886.86","18,331,082.84"
28,1,29,722011,"54,523,965.86","13,985,687.98"
29,1,30,722020,"54,750,501.89","14,366,727.72"
30,1,31,722034,"56,069,741.26","14,658,127.68"
31,2,01,722047,"72,116,444.62","12,067,833.83"
32,2,02,722047,"941,794,439.78","20,480,995.60"
33,2,03,722038,"357,533,610.62","17,109,769.40"
34,2,04,722020,"204,826,493.09","18,657,965.80"
35,2,05,721934,"289,211,764.32","17,409,384.48"
36,2,06,721937,"63,160,582.20","12,945,670.02"
37,2,07,721924,"74,864,836.30","18,647,064.44"
38,2,08,721766,"343,786,389.67","22,416,561.87"
39,2,09,721789,"342,084,695.62","20,531,157.04"
40,2,10,721716,"66,785,712.41","16,497,414.72"
41,2,11,721593,"77,690,163.74","18,675,696.66"
42,2,12,721209,"79,430,584.01","18,338,117.25"
43,2,13,721212,"74,957,348.59","17,776,280.41"
44,2,14,721214,"78,052,828.08","16,940,638.07"
45,2,15,721218,"60,260,619.14","14,667,485.45"
46,2,16,720966,"77,778,388.99","18,945,505.14"
47,2,17,720884,"100,552,925.09","18,167,874.42"
48,2,18,720825,"88,075,771.63","22,074,538.53"
49,2,19,720866,"92,030,776.39","19,430,853.76"
50,2,20,720873,"78,917,119.85","18,534,771.19"
51,2,21,720654,"64,160,819.74","14,738,424.72"
52,2,22,720717,"79,703,172.26","14,609,625.92"
53,2,23,720445,"96,253,985.98","17,177,625.46"
54,2,24,720377,"121,341,754.54","17,754,430.03"
55,2,25,720617,"206,013,084.36","22,162,817.07"
56,2,26,720328,"156,877,571.74","21,525,368.68"
57,2,27,720346,"158,215,037.88","22,942,752.06"
58,2,28,720345,"180,944,014.58","22,017,106.34"
59,3,01,720177,"155,821,214.21","18,984,372.50"
60,3,02,720175,"183,112,582.39","23,670,183.38"
61,3,03,720202,"145,485,579.46","20,716,574.13"
62,3,04,720034,"159,102,161.54","22,440,727.67"
63,3,05,719715,"147,512,193.17","24,361,698.99"
64,3,06,719738,"146,069,943.60","22,004,904.71"
65,3,07,719744,"167,049,131.74","24,849,729.47"
66,3,08,719715,"150,411,734.02","20,629,239.74"
67,3,09,719746,"155,784,944.64","22,447,324.82"
68,3,10,719586,"138,568,038.84","20,191,737.02"
69,3,11,736759,"194,673,793.46","21,358,046.92"
70,3,12,736838,"140,726,837.47","20,201,449.32"
71,3,13,736693,"162,574,576.90","23,492,655.28"
72,3,14,736672,"145,160,477.50","17,305,171.27"
73,3,15,736426,"237,473,107.37","20,917,481.65"
74,3,16,736222,"207,330,886.46","23,124,764.23"
75,3,17,736280,"184,475,194.61","23,519,211.11"
76,3,18,735962,"219,600,386.62","22,811,687.34"
77,3,19,735684,"222,127,607.66","27,203,235.49"
78,3,20,735454,"159,018,202.54","23,674,510.63"
79,3,21,735456,"187,518,086.04","24,609,546.16"
80,3,22,735469,"178,218,727.08","24,681,895.13"
81,3,23,735295,"167,858,333.47","22,674,701.41"
82,3,24,735086,"144,820,342.32","21,413,952.01"
83,3,25,734964,"396,972,498.36","25,136,783.03"
84,3,26,734763,"132,585,401.21","21,042,800.68"
85,3,27,734518,"364,561,284.19","22,233,851.21"
86,3,28,734567,"178,017,949.13","24,865,125.50"
87,3,29,734629,"157,043,522.42","24,205,291.78"
88,3,30,734656,"147,211,999.46","24,409,259.63"
89,3,31,734486,"166,602,248.98","23,100,695.69"
90,4,01,734357,"173,872,134.07","22,958,409.55"
91,4,02,734154,"123,627,963.43","22,794,784.21"
92,4,03,734040,"142,930,847.11","20,394,883.88"
93,4,04,734020,"165,766,668.60","23,585,682.18"
94,4,05,734026,"124,411,186.82","21,116,384.02"
95,4,06,733812,"144,803,250.34","21,934,274.55"
96,4,07,733760,"89,509,452.94","15,908,599.50"
97,4,08,733620,"132,869,287.90","20,888,978.03"
98,4,09,733530,"91,138,607.16","19,440,652.88"
99,4,10,733468,"96,436,579.56","18,847,353.03"
100,4,11,733469,"74,556,650.81","13,980,383.77"
101,4,12,733478,"193,448,279.74","19,107,810.81"
102,4,13,733330,"131,539,549.66","20,411,526.28"
103,4,14,733190,"185,558,560.56","19,135,174.09"
104,4,15,733188,"73,726,960.46","12,899,984.29"
105,4,16,733045,"100,761,719.86","18,521,204.07"
106,4,17,732913,"103,427,233.13","15,322,207.25"
107,4,18,732889,"94,165,499.28","17,567,527.21"
108,4,19,732917,"82,730,156.90","14,799,323.31"
109,4,20,732675,"109,650,851.62","17,488,434.32"
110,4,21,732723,"110,156,953.97","20,327,611.50"
111,4,22,732645,"99,649,430.45","18,617,994.06"
112,4,23,732572,"97,340,558.74","16,364,054.50"
113,4,24,732573,"97,831,712.09","18,023,142.88"
114,4,25,732574,"99,566,540.06","16,346,147.57"
115,4,26,732584,"90,742,530.24","15,943,062.88"
116,4,27,732396,"110,711,811.91","20,416,562.51"
117,4,28,732159,"128,243,897.47","19,217,175.07"
118,4,29,731899,"87,899,207.64","17,188,119.82"
119,4,30,731726,"109,469,522.38","15,846,468.40"
120,5,01,731420,"77,660,556.86","17,323,744.53"
121,5,02,731465,"81,392,252.47","16,751,473.55"
122,5,03,731500,"91,001,258.54","18,079,217.06"
123,5,04,730920,"100,002,145.34","19,117,214.77"
124,5,05,730562,"73,823,641.22","14,644,191.46"
125,5,06,730178,"84,832,382.18","16,320,089.19"
126,5,07,730178,"85,585,733.14","17,822,936.33"
127,5,08,729738,"117,424,393.90","15,907,444.53"
128,5,09,729717,"70,906,861.87","15,267,045.12"
129,5,10,729778,"77,695,533.60","16,217,835.20"
130,5,11,729642,"80,237,014.15","16,819,271.62"
131,5,12,729362,"68,088,661.99","14,867,617.14"
132,5,13,729172,"82,605,733.85","15,995,986.66"
133,5,14,729108,"84,342,901.61","18,277,812.08"
134,5,15,729030,"82,924,713.41","16,202,312.51"
135,5,16,728980,"136,076,916.70","13,708,734.89"
136,5,17,728966,"81,576,865.18","16,632,519.79"
137,5,18,728814,"78,535,354.51","17,143,529.28"
138,5,19,728560,"82,718,178.77","16,576,428.82"
139,5,20,728581,"81,774,319.30","17,849,664.46"
140,5,21,728271,"52,497,040.15","13,077,450.46"
141,5,22,728081,"66,746,881.06","14,675,779.30"
