year,month,type,temp,Humidity_mean,rainfall_total,cloud,solar,snow,kw
2016,1,가로등,0.9,69,49.7,6.0,244.83,13.5,7842078
2016,1,교육용,0.9,69,49.7,6.0,244.83,13.5,27092538
2016,1,농사용,0.9,69,49.7,6.0,244.83,13.5,9785066
2016,1,산업용,0.9,69,49.7,6.0,244.83,13.5,261196271
2016,1,심 야,0.9,69,49.7,6.0,244.83,13.5,18357075
2016,1,일반용,0.9,69,49.7,6.0,244.83,13.5,255851378
2016,1,주택용,0.9,69,49.7,6.0,244.83,13.5,173309722
2016,2,가로등,3.3,60,45.2,4.5,348.22,5.6,7435531
2016,2,교육용,3.3,60,45.2,4.5,348.22,5.6,26412246
2016,2,농사용,3.3,60,45.2,4.5,348.22,5.6,11083161
2016,2,산업용,3.3,60,45.2,4.5,348.22,5.6,249686944
2016,2,심 야,3.3,60,45.2,4.5,348.22,5.6,20082747
2016,2,일반용,3.3,60,45.2,4.5,348.22,5.6,264737669
2016,2,주택용,3.3,60,45.2,4.5,348.22,5.6,177504527
2016,3,가로등,8.4,60,55.2,4.1,520.95,0.0,6731757
2016,3,교육용,8.4,60,55.2,4.1,520.95,0.0,25623599
2016,3,농사용,8.4,60,55.2,4.1,520.95,0.0,8365775
2016,3,산업용,8.4,60,55.2,4.1,520.95,0.0,265611126
2016,3,심 야,8.4,60,55.2,4.1,520.95,0.0,16648295
2016,3,일반용,8.4,60,55.2,4.1,520.95,0.0,231586942
2016,3,주택용,8.4,60,55.2,4.1,520.95,0.0,159455416
2016,4,가로등,15.5,66,185.0,5.8,541.64,0.0,6503431
2016,4,교육용,15.5,66,185.0,5.8,541.64,0.0,22651558
2016,4,농사용,15.5,66,185.0,5.8,541.64,0.0,6004044
2016,4,산업용,15.5,66,185.0,5.8,541.64,0.0,254699750
2016,4,심 야,15.5,66,185.0,5.8,541.64,0.0,12255258
2016,4,일반용,15.5,66,185.0,5.8,541.64,0.0,213115734
2016,4,주택용,15.5,66,185.0,5.8,541.64,0.0,159848304
2016,5,가로등,19.8,65,104.5,5.2,681.6,0.0,5843072
2016,5,교육용,19.8,65,104.5,5.2,681.6,0.0,18205039
2016,5,농사용,19.8,65,104.5,5.2,681.6,0.0,3878943
2016,5,산업용,19.8,65,104.5,5.2,681.6,0.0,250569999
2016,5,심 야,19.8,65,104.5,5.2,681.6,0.0,6697818
2016,5,일반용,19.8,65,104.5,5.2,681.6,0.0,196782992
2016,5,주택용,19.8,65,104.5,5.2,681.6,0.0,149005155
2016,6,가로등,23.0,80,116.1,7.0,505.22,0.0,5518404
2016,6,교육용,23.0,80,116.1,7.0,505.22,0.0,21039641
2016,6,농사용,23.0,80,116.1,7.0,505.22,0.0,4418441
2016,6,산업용,23.0,80,116.1,7.0,505.22,0.0,268629134
2016,6,심 야,23.0,80,116.1,7.0,505.22,0.0,5076262
2016,6,일반용,23.0,80,116.1,7.0,505.22,0.0,219998354
2016,6,주택용,23.0,80,116.1,7.0,505.22,0.0,150783152
2016,7,가로등,26.9,84,301.3,6.6,570.17,0.0,5357894
2016,7,교육용,26.9,84,301.3,6.6,570.17,0.0,25922146
2016,7,농사용,26.9,84,301.3,6.6,570.17,0.0,4480687
2016,7,산업용,26.9,84,301.3,6.6,570.17,0.0,283162090
2016,7,심 야,26.9,84,301.3,6.6,570.17,0.0,5245948
2016,7,일반용,26.9,84,301.3,6.6,570.17,0.0,247432080
2016,7,주택용,26.9,84,301.3,6.6,570.17,0.0,160253781
2016,8,가로등,27.8,79,81.0,4.1,592.06,0.0,5727174
2016,8,교육용,27.8,79,81.0,4.1,592.06,0.0,25716429
2016,8,농사용,27.8,79,81.0,4.1,592.06,0.0,6337387
2016,8,산업용,27.8,79,81.0,4.1,592.06,0.0,269911993
2016,8,심 야,27.8,79,81.0,4.1,592.06,0.0,5357215
2016,8,일반용,27.8,79,81.0,4.1,592.06,0.0,293957526
2016,8,주택용,27.8,79,81.0,4.1,592.06,0.0,206705618
2016,9,가로등,23.0,83,251.2,6.8,408.67,0.0,6227554
2016,9,교육용,23.0,83,251.2,6.8,408.67,0.0,25475045
2016,9,농사용,23.0,83,251.2,6.8,408.67,0.0,5454884
2016,9,산업용,23.0,83,251.2,6.8,408.67,0.0,257262845
2016,9,심 야,23.0,83,251.2,6.8,408.67,0.0,4209095
2016,9,일반용,23.0,83,251.2,6.8,408.67,0.0,262442352
2016,9,주택용,23.0,83,251.2,6.8,408.67,0.0,181317487
2016,10,가로등,17.2,79,216.7,6.7,318.54,0.0,6727443
2016,10,교육용,17.2,79,216.7,6.7,318.54,0.0,20090511
2016,10,농사용,17.2,79,216.7,6.7,318.54,0.0,3975739
2016,10,산업용,17.2,79,216.7,6.7,318.54,0.0,255668381
2016,10,심 야,17.2,79,216.7,6.7,318.54,0.0,4112314
2016,10,일반용,17.2,79,216.7,6.7,318.54,0.0,210523165
2016,10,주택용,17.2,79,216.7,6.7,318.54,0.0,149426502
2016,11,가로등,9.6,69,31.5,4.6,297.0,0.0,7402672
2016,11,교육용,9.6,69,31.5,4.6,297.0,0.0,21753618
2016,11,농사용,9.6,69,31.5,4.6,297.0,0.0,7471416
2016,11,산업용,9.6,69,31.5,4.6,297.0,0.0,269083814
2016,11,심 야,9.6,69,31.5,4.6,297.0,0.0,8577543
2016,11,일반용,9.6,69,31.5,4.6,297.0,0.0,207452823
2016,11,주택용,9.6,69,31.5,4.6,297.0,0.0,157951649
2016,12,가로등,4.7,69,44.9,5.1,241.72,1.6,7782200
2016,12,교육용,4.7,69,44.9,5.1,241.72,1.6,28444745
2016,12,농사용,4.7,69,44.9,5.1,241.72,1.6,7934865
2016,12,산업용,4.7,69,44.9,5.1,241.72,1.6,275812572
2016,12,심 야,4.7,69,44.9,5.1,241.72,1.6,14613075
2016,12,일반용,4.7,69,44.9,5.1,241.72,1.6,236135112
2016,12,주택용,4.7,69,44.9,5.1,241.72,1.6,163547359
2017,1,가로등,2.0,66,11.7,4.7,291.97,5.3,7830536
2017,1,교육용,2.0,66,11.7,4.7,291.97,5.3,27781040
2017,1,농사용,2.0,66,11.7,4.7,291.97,5.3,9767275
2017,1,산업용,2.0,66,11.7,4.7,291.97,5.3,266767270
2017,1,심 야,2.0,66,11.7,4.7,291.97,5.3,17150265
2017,1,일반용,2.0,66,11.7,4.7,291.97,5.3,261557952
2017,1,주택용,2.0,66,11.7,4.7,291.97,5.3,174231267
2017,2,가로등,2.9,60,41.9,4.3,366.96,3.4,7275341
2017,2,교육용,2.9,60,41.9,4.3,366.96,3.4,26204476
2017,2,농사용,2.9,60,41.9,4.3,366.96,3.4,10507779
2017,2,산업용,2.9,60,41.9,4.3,366.96,3.4,265948639
2017,2,심 야,2.9,60,41.9,4.3,366.96,3.4,18385263
2017,2,일반용,2.9,60,41.9,4.3,366.96,3.4,268084862
2017,2,주택용,2.9,60,41.9,4.3,366.96,3.4,176987870
2017,3,가로등,7.4,57,33.2,4.8,519.15,1.9,6434811
2017,3,교육용,7.4,57,33.2,4.8,519.15,1.9,26085491
2017,3,농사용,7.4,57,33.2,4.8,519.15,1.9,8500401
