,year,month,day,temp,cloud,rainfall_total,Humidity_mean,solar
0,2021,1,1,-0.6,7.3,0.0,83.1,9.0
1,2021,1,2,-0.3,3.8,0.5,67.8,12.54
2,2021,1,3,-0.6,7.3,0.0,54.6,10.37
3,2021,1,4,1.2,3.1,0.0,71.8,10.07
4,2021,1,5,-0.2,8.0,0.0,64.9,7.74
5,2021,1,6,-2.4,7.5,1.2,65.9,10.95
6,2021,1,7,-8.4,8.6,2.0,69.1,5.16
7,2021,1,8,-9.9,2.8,0.0,55.8,12.15
8,2021,1,9,-7.6,1.9,0.0,52.6,13.02
9,2021,1,10,-5.1,4.4,0.0,74.3,9.5
10,2021,1,11,-2.1,8.1,0.0,78.6,5.82
11,2021,1,12,-0.5,5.5,0.0,80.4,10.78
12,2021,1,13,4.3,3.4,0.0,77.5,11.74
13,2021,1,14,6.6,0.1,0.0,76.8,12.16
14,2021,1,15,7.9,8.0,0.0,83.9,7.46
15,2021,1,16,0.3,8.3,0.0,60.9,7.43
16,2021,1,17,-1.5,4.6,0.0,60.4,13.86
17,2021,1,18,0.6,8.0,4.0,77.1,5.69
18,2021,1,19,-1.3,0.0,0.0,46.0,14.39
19,2021,1,20,3.2,2.6,0.0,51.1,13.68
20,2021,1,21,7.6,8.3,6.8,81.4,5.47
21,2021,1,22,9.4,9.9,2.9,97.9,4.14
22,2021,1,23,9.3,10.0,4.0,96.8,3.29
23,2021,1,24,8.8,3.6,0.0,70.5,12.93
24,2021,1,25,8.8,5.1,0.0,66.8,13.75
25,2021,1,26,6.5,9.8,8.7,90.6,3.79
26,2021,1,27,5.1,4.9,0.0,41.8,14.25
27,2021,1,28,0.7,7.9,1.0,71.8,6.84
28,2021,1,29,-3.2,2.5,0.0,63.8,15.34
29,2021,1,30,1.8,4.6,0.1,74.0,9.81
30,2021,1,31,6.2,6.0,1.8,77.6,11.52
31,2021,2,1,8.3,9.1,11.6,90.6,4.36
32,2021,2,2,-1.0,0.6,0.0,45.6,16.45
33,2021,2,3,0.3,2.0,0.0,50.3,16.03
34,2021,2,4,1.6,1.3,1.1,49.1,16.67
35,2021,2,5,2.8,6.1,0.0,41.0,11.02
36,2021,2,6,5.7,6.9,0.0,71.4,6.55
37,2021,2,7,7.4,4.0,0.0,65.8,14.14
38,2021,2,8,0.3,0.0,0.0,44.8,17.29
39,2021,2,9,1.7,0.0,0.0,40.1,17.32
40,2021,2,10,4.0,2.0,0.0,58.1,15.93
41,2021,2,11,6.4,8.5,0.0,63.6,10.21
42,2021,2,12,9.3,6.1,0.0,47.0,15.04
43,2021,2,13,10.6,0.8,0.0,41.0,16.83
44,2021,2,14,10.9,9.1,0.0,55.1,7.98
45,2021,2,15,3.9,8.9,0.6,65.9,7.26
46,2021,2,16,0.4,4.5,0.9,60.5,13.96
47,2021,2,17,-4.5,9.6,1.5,83.4,6.82
48,2021,2,18,-2.2,8.6,0.2,69.1,9.52
49,2021,2,19,3.8,1.1,0.0,65.4,18.39
50,2021,2,20,10.6,0.0,0.0,74.8,16.01
51,2021,2,21,13.0,0.0,0.0,65.0,17.9
52,2021,2,22,10.5,0.0,0.0,62.1,16.61
53,2021,2,23,3.6,2.8,0.0,38.5,16.24
54,2021,2,24,3.9,7.0,0.0,42.0,5.49
55,2021,2,25,4.7,9.6,14.8,86.1,2.83
56,2021,2,26,9.7,8.3,0.0,59.1,15.45
57,2021,2,27,9.4,6.3,0.0,46.0,17.92
58,2021,2,28,8.9,9.8,0.4,70.9,6.06
59,2021,3,1,11.5,9.4,39.7,95.9,3.51
60,2021,3,2,4.7,5.1,0.0,74.8,15.61
61,2021,3,3,6.2,4.5,0.0,64.9,18.39
62,2021,3,4,6.9,9.5,8.9,85.8,5.31
63,2021,3,5,10.7,3.8,0.0,71.5,19.82
64,2021,3,6,10.4,7.0,0.0,67.6,14.83
65,2021,3,7,8.7,7.6,0.0,69.9,12.78
66,2021,3,8,8.6,4.6,0.0,66.1,19.79
67,2021,3,9,8.6,5.5,0.0,48.6,18.48
68,2021,3,10,10.6,0.0,0.0,45.1,20.71
69,2021,3,11,11.8,7.9,1.6,58.5,17.85
70,2021,3,12,9.2,8.0,16.2,93.9,6.05
71,2021,3,13,9.6,0.6,0.0,74.8,20.62
72,2021,3,14,9.8,0.4,0.0,67.5,20.73
73,2021,3,15,12.3,5.8,2.4,69.3,17.43
74,2021,3,16,11.3,3.8,3.5,64.8,21.36
75,2021,3,17,9.7,1.8,0.0,53.6,21.09
76,2021,3,18,11.7,2.1,0.0,62.4,21.93
77,2021,3,19,13.9,7.4,0.0,60.3,18.9
78,2021,3,20,9.7,10.0,11.1,94.6,3.75
79,2021,3,21,6.8,8.8,0.0,63.0,17.19
80,2021,3,22,7.5,1.3,0.0,47.8,23.98
81,2021,3,23,10.1,0.0,0.0,61.4,22.66
82,2021,3,24,11.8,5.4,0.0,56.3,15.14
83,2021,3,25,13.3,0.3,0.0,59.9,23.73
84,2021,3,26,14.8,3.6,0.0,46.9,21.84
85,2021,3,27,14.7,9.4,38.5,83.6,4.23
86,2021,3,28,12.4,6.8,0.5,85.6,13.85
87,2021,3,29,13.1,5.1,0.0,53.0,18.87
88,2021,3,30,14.0,2.8,0.0,33.0,22.3
89,2021,3,31,15.3,5.4,0.0,43.6,21.86
90,2021,4,1,16.7,8.1,0.0,36.6,15.06
91,2021,4,2,18.7,8.0,0.0,44.3,13.43
92,2021,4,3,16.8,10.0,11.6,87.8,3.49
93,2021,4,4,11.0,9.6,3.3,97.9,3.6
94,2021,4,5,12.4,0.0,0.0,56.3,26.75
95,2021,4,6,12.4,2.8,0.0,52.4,22.13
96,2021,4,7,14.1,1.0,0.0,44.0,26.05
97,2021,4,8,12.9,2.5,0.0,40.9,26.36
98,2021,4,9,13.3,2.6,0.0,41.0,24.85
99,2021,4,10,13.6,2.1,0.0,54.9,23.83
100,2021,4,11,15.6,2.4,0.0,38.9,26.0
101,2021,4,12,13.9,10.0,16.9,78.3,4.33
102,2021,4,13,10.0,6.1,0.3,76.4,17.96
103,2021,4,14,9.4,2.0,0.0,41.3,27.8
